Sp,Lat,Lon,Alt,Locality,Country,Reference
Gymnophthalmus underwoodi,7.4833000,-62.5333000,270,La Calceta,Venezuela,"Recoder R.S., Vechio F.D., Marques-Souza S., Teixeira Jr M., Silva-da-Silva M., Santos-Jr A.P., Ribeiro S., Barrio-Amorós C., Rodrigues M.T. 2018. Geographic variation and taxonomy of red-tailed Gymnophthalmus (Squamata: Gymnophthalmidae) from Amazonian Savannas. Zootaxa, 4497(1): 061-088"
Gymnophthalmus underwoodi,15.5863139,-61.4741944,92,Cabrits National Parik,Dominica,"Ribeiro-Júnior M.A., Amaral S. 2017. Catalogue of distribution of lizards (Reptilia: Squamata) from the Brazilian Amazonia. IV. Alopoglossidae, Gymnophthalmidae. Zootaxa, 4269 (2): 151-196"
Gymnophthalmus underwoodi,16.2556028,-61.5276528,6,Raizet,Guadalupe,"Ribeiro-Júnior M.A., Amaral S. 2017. Catalogue of distribution of lizards (Reptilia: Squamata) from the Brazilian Amazonia. IV. Alopoglossidae, Gymnophthalmidae. Zootaxa, 4269 (2): 151-197"
Gymnophthalmus underwoodi,-0.4527000,-64.7308000,67,Amazonas,Brazil,"Ribeiro-Júnior M.A., Amaral S. 2017. Catalogue of distribution of lizards (Reptilia: Squamata) from the Brazilian Amazonia. IV. Alopoglossidae, Gymnophthalmidae. Zootaxa, 4269 (2): 151-198"
Gymnophthalmus underwoodi,-0.4103000,-65.0107000,45,Amazonas,Brazil,"Ribeiro-Júnior M.A., Amaral S. 2017. Catalogue of distribution of lizards (Reptilia: Squamata) from the Brazilian Amazonia. IV. Alopoglossidae, Gymnophthalmidae. Zootaxa, 4269 (2): 151-199"
Gymnophthalmus underwoodi,1.7907000,-62.2689000,84,Roraima,Brazil,"Ribeiro-Júnior M.A., Amaral S. 2017. Catalogue of distribution of lizards (Reptilia: Squamata) from the Brazilian Amazonia. IV. Alopoglossidae, Gymnophthalmidae. Zootaxa, 4269 (2): 151-200"
Gymnophthalmus underwoodi,-0.9739917,-62.9255722,36,Amazonas,Brazil,"Ribeiro-Júnior M.A., Amaral S. 2017. Catalogue of distribution of lizards (Reptilia: Squamata) from the Brazilian Amazonia. IV. Alopoglossidae, Gymnophthalmidae. Zootaxa, 4269 (2): 151-201"
Gymnophthalmus underwoodi,1.7180167,-62.3012167,121,Roraima,Brazil,"Ribeiro-Júnior M.A., Amaral S. 2017. Catalogue of distribution of lizards (Reptilia: Squamata) from the Brazilian Amazonia. IV. Alopoglossidae, Gymnophthalmidae. Zootaxa, 4269 (2): 151-202"
Gymnophthalmus underwoodi,2.1000000,-56.0333333,317,Sipaliwini Savanna Nature Preserve,Suriname,"Ribeiro-Júnior M.A., Amaral S. 2017. Catalogue of distribution of lizards (Reptilia: Squamata) from the Brazilian Amazonia. IV. Alopoglossidae, Gymnophthalmidae. Zootaxa, 4269 (2): 151-203"
Gymnophthalmus underwoodi,2.4003000,-59.0674000,189,Isherton,Guyana,"Ribeiro-Júnior M.A., Amaral S. 2017. Catalogue of distribution of lizards (Reptilia: Squamata) from the Brazilian Amazonia. IV. Alopoglossidae, Gymnophthalmidae. Zootaxa, 4269 (2): 151-204"
Gymnophthalmus underwoodi,2.5532000,-61.3110000,118,Roraima,Brazil,"Ribeiro-Júnior M.A., Amaral S. 2017. Catalogue of distribution of lizards (Reptilia: Squamata) from the Brazilian Amazonia. IV. Alopoglossidae, Gymnophthalmidae. Zootaxa, 4269 (2): 151-205"
Gymnophthalmus underwoodi,2.9193056,-56.0277833,248,Christiaankondre,Suriname,"Ribeiro-Júnior M.A., Amaral S. 2017. Catalogue of distribution of lizards (Reptilia: Squamata) from the Brazilian Amazonia. IV. Alopoglossidae, Gymnophthalmidae. Zootaxa, 4269 (2): 151-206"
Gymnophthalmus underwoodi,2.5528000,-59.3611000,109,Karanambo,Guyana,"Ribeiro-Júnior M.A., Amaral S. 2017. Catalogue of distribution of lizards (Reptilia: Squamata) from the Brazilian Amazonia. IV. Alopoglossidae, Gymnophthalmidae. Zootaxa, 4269 (2): 151-207"
Gymnophthalmus underwoodi,3.3181000,-61.4242000,106,Roraima,Brazil,"Ribeiro-Júnior M.A., Amaral S. 2017. Catalogue of distribution of lizards (Reptilia: Squamata) from the Brazilian Amazonia. IV. Alopoglossidae, Gymnophthalmidae. Zootaxa, 4269 (2): 151-208"
Gymnophthalmus underwoodi,3.3635000,-61.4348000,183,Roraima,Brazil,"Ribeiro-Júnior M.A., Amaral S. 2017. Catalogue of distribution of lizards (Reptilia: Squamata) from the Brazilian Amazonia. IV. Alopoglossidae, Gymnophthalmidae. Zootaxa, 4269 (2): 151-209"
Gymnophthalmus underwoodi,3.6611000,-59.3529000,85,Yupukari,Guyana,"Ribeiro-Júnior M.A., Amaral S. 2017. Catalogue of distribution of lizards (Reptilia: Squamata) from the Brazilian Amazonia. IV. Alopoglossidae, Gymnophthalmidae. Zootaxa, 4269 (2): 151-210"
Gymnophthalmus underwoodi,5.3904361,-57.9804333,21,Kwakwanu,Guyana,"Ribeiro-Júnior M.A., Amaral S. 2017. Catalogue of distribution of lizards (Reptilia: Squamata) from the Brazilian Amazonia. IV. Alopoglossidae, Gymnophthalmidae. Zootaxa, 4269 (2): 151-211"
Gymnophthalmus underwoodi,5.7044583,-54.0286611,2,Langamankondre,Suriname,"Ribeiro-Júnior M.A., Amaral S. 2017. Catalogue of distribution of lizards (Reptilia: Squamata) from the Brazilian Amazonia. IV. Alopoglossidae, Gymnophthalmidae. Zootaxa, 4269 (2): 151-212"
Gymnophthalmus underwoodi,5.8197250,-55.1874194,6,Paramaribo,Suriname,"Ribeiro-Júnior M.A., Amaral S. 2017. Catalogue of distribution of lizards (Reptilia: Squamata) from the Brazilian Amazonia. IV. Alopoglossidae, Gymnophthalmidae. Zootaxa, 4269 (2): 151-213"
Gymnophthalmus underwoodi,7.5637750,-69.1417278,83,Mantecal ,Venezuela,"Ribeiro-Júnior M.A., Amaral S. 2017. Catalogue of distribution of lizards (Reptilia: Squamata) from the Brazilian Amazonia. IV. Alopoglossidae, Gymnophthalmidae. Zootaxa, 4269 (2): 151-214"
Gymnophthalmus underwoodi,10.4932583,-61.0434889,3,Manzanilla Beach,Trinidad and Tobago,"Ribeiro-Júnior M.A., Amaral S. 2017. Catalogue of distribution of lizards (Reptilia: Squamata) from the Brazilian Amazonia. IV. Alopoglossidae, Gymnophthalmidae. Zootaxa, 4269 (2): 151-215"
Gymnophthalmus underwoodi,10.6908806,-61.7517222,91,Chacachacare,Trinidad and Tobago,"Ribeiro-Júnior M.A., Amaral S. 2017. Catalogue of distribution of lizards (Reptilia: Squamata) from the Brazilian Amazonia. IV. Alopoglossidae, Gymnophthalmidae. Zootaxa, 4269 (2): 151-216"
Gymnophthalmus underwoodi,13.0117056,-61.2272306,128,Bequia,Saint Vicent and the Grenadines,"Ribeiro-Júnior M.A., Amaral S. 2017. Catalogue of distribution of lizards (Reptilia: Squamata) from the Brazilian Amazonia. IV. Alopoglossidae, Gymnophthalmidae. Zootaxa, 4269 (2): 151-217"
Gymnophthalmus underwoodi,15.2342611,-61.3491778,102,Soufriere Sulphur Springs National Park,Dominica,"Ribeiro-Júnior M.A., Amaral S. 2017. Catalogue of distribution of lizards (Reptilia: Squamata) from the Brazilian Amazonia. IV. Alopoglossidae, Gymnophthalmidae. Zootaxa, 4269 (2): 151-218"
Gymnophthalmus underwoodi,15.2545861,-61.3676861,203,Point Michel,Dominica,"Ribeiro-Júnior M.A., Amaral S. 2017. Catalogue of distribution of lizards (Reptilia: Squamata) from the Brazilian Amazonia. IV. Alopoglossidae, Gymnophthalmidae. Zootaxa, 4269 (2): 151-219"
Gymnophthalmus underwoodi,15.4150000,-61.3709750,292,Coulibri,Dominica,"Ribeiro-Júnior M.A., Amaral S. 2017. Catalogue of distribution of lizards (Reptilia: Squamata) from the Brazilian Amazonia. IV. Alopoglossidae, Gymnophthalmidae. Zootaxa, 4269 (2): 151-220"
Gymnophthalmus underwoodi,15.5134056,-61.4654361,78,Dublanc,Dominica,"Ribeiro-Júnior M.A., Amaral S. 2017. Catalogue of distribution of lizards (Reptilia: Squamata) from the Brazilian Amazonia. IV. Alopoglossidae, Gymnophthalmidae. Zootaxa, 4269 (2): 151-221"
Gymnophthalmus underwoodi,15.5561778,-61.4581389,24,Portsmouth ,Dominica,"Ribeiro-Júnior M.A., Amaral S. 2017. Catalogue of distribution of lizards (Reptilia: Squamata) from the Brazilian Amazonia. IV. Alopoglossidae, Gymnophthalmidae. Zootaxa, 4269 (2): 151-222"
Gymnophthalmus underwoodi,16.4718611,-61.5086250,19,Anse-Bertrand,Guadalupe,"Ribeiro-Júnior M.A., Amaral S. 2017. Catalogue of distribution of lizards (Reptilia: Squamata) from the Brazilian Amazonia. IV. Alopoglossidae, Gymnophthalmidae. Zootaxa, 4269 (2): 151-223"
Gymnophthalmus underwoodi,20.8780556,-76.2721944,140,Holquín Province,Cuba,"Salass D. 2020. New Cuban locality records for the Smooth-scaled Tegulet, Gymnophthalmus underwoodi Grant 1958. Reptiles & Amphibians, 27(3): 541-542"
Gymnophthalmus underwoodi,22.9902778,-82.4658333,82,La Habana Province,Cuba,"Salass D. 2020. New Cuban locality records for the Smooth-scaled Tegulet, Gymnophthalmus underwoodi Grant 1958. Reptiles & Amphibians, 27(3): 541-543"
Gymnophthalmus underwoodi,18.5850250,-68.6201083,62,La Altagracia Province,Dominican Republic,"Scantlebury D.P., Ng J., Landestoy T M.A., Glor R.E. Hemidactylus frenatus and Gymnophthalmus underwoodi in the Dominican Republic. IRCF Reptiles & Amphibians, 17(3): 180-181"
Gymnophthalmus underwoodi,16.7690833,-62.1672778,28,Bottomless Ghaut Beach,Montserrat,"Snyder S.J., Schmidt R.E., McMullin E.R., Parker B.F., Ferus H.L. 2017. Gymnophthalmus underwoodi Grant, 1958 (Reptilia: Gymnophthalmidae), a new record for the island of Montserrat. Check List, 13(3): 2153"
Gymnophthalmus underwoodi,18.3267806,-68.8074194,2,San Rafael del Yuma,Dominican Republic,"Szkudlarek M. 2019. Gymnophthalmus underwoodi (Underwood's Spectacled Tegu). Herpetological Review, 50(3): 524"
Gymnophthalmus underwoodi,15.4522222,-61.4463889,6,Batali Beach,Dominica,"Turk P.A., Wysznski N.N., Powell R., Henderson R.W. 2010. Population densities and water-loss rates of Gymnophthalmus pleii, Gymnophthalmus underwoodi (Gymnophthalmidae), and Sphaerodactylus fantasticus fuga (Sphaerodactylidae) on Dominica, West Indies. Salamandra, 46(3): 125-130"
Gymnophthalmus underwoodi,13.2509750,-61.1863472,869,St. Vicent,Granadines,"Williamson K.E., Powell R. 2004. Gymnophthalmus underwoodi. Catalogue of American Amphibians and Reptiles."
Gymnophthalmus underwoodi,3.3635000,-61.4348000,134,Ilha de Maracá,Brazil,"Yonenaga-Yassuda Y., Vanzolini P.E., Rodrigues M.T., Carvalho C.M. 1995. Chromosome banding patterns in the unisexual microteiid Gymnophthalmus underwoodi and in two related sibling species (Gymnophthalmidae, Sauria). Cytogenetics and Cell Genetics, 70:29-34"
Gymnophthalmus underwoodi,13.1235389,-59.4345750,15,St. Phillip,Barbados,"Kirizian D.A., Cole C.J. 1999. Origin of the Unisexual Lizard Gymnophthalmus underwoodi (Gymnophthalmidae) Inferred from Mitochondrial DNA Nucleotide Sequences. Molecular Phylogenetics and Evolution, 11(3): 394-400"
Gymnophthalmus underwoodi,3.7527778,-59.3091667,86,Rupununi Savanna,Guyana,"Kirizian D.A., Cole C.J. 1999. Origin of the Unisexual Lizard Gymnophthalmus underwoodi (Gymnophthalmidae) Inferred from Mitochondrial DNA Nucleotide Sequences. Molecular Phylogenetics and Evolution, 11(3): 394-401"
Gymnophthalmus underwoodi,5.6647220,-57.9086110,37,Dubulay Ranch,Guyana,"Kirizian D.A., Cole C.J. 1999. Origin of the Unisexual Lizard Gymnophthalmus underwoodi (Gymnophthalmidae) Inferred from Mitochondrial DNA Nucleotide Sequences. Molecular Phylogenetics and Evolution, 11(3): 394-402"
Gymnophthalmus underwoodi,10.6741980,-61.5166110,41,St. George,Trinidad and Tobago,"Kirizian D.A., Cole C.J. 1999. Origin of the Unisexual Lizard Gymnophthalmus underwoodi (Gymnophthalmidae) Inferred from Mitochondrial DNA Nucleotide Sequences. Molecular Phylogenetics and Evolution, 11(3): 394-403"
Gymnophthalmus underwoodi,3.3635000,-61.4348000,183,"Amajari, RR",Brazil,"Goicoechea N., Frost D.R., Riva I.D., Pellegrino K.C.M., Sites Jr J., Rodrigues M.T., Padial J.M. 2016. Molecular systematics of teioid lizards (Teioidea/Gymnophthalmoidea: Squamata) based on the analysis of 48 loci under tree-alignment and similarity-alignment. Cladistics, 32: 624-671"
Gymnophthalmus underwoodi,15.9235417,-61.2571500,108,Marie-Galante,Guadalupe,"Lorvelec O., Pascal M., Pavis C., Feldmann P. 2007. Amphibians and reptiles of the French West Indies: Inventory, threats and conservation. Applied Herpetology, 4:131-161"
Gymnophthalmus underwoodi,15.9965750,-61.7317000,10,Basse-Terre,Guadalupe,"Lorvelec O., Pascal M., Pavis C., Feldmann P. 2007. Amphibians and reptiles of the French West Indies: Inventory, threats and conservation. Applied Herpetology, 4:131-162"
Gymnophthalmus underwoodi,16.2732361,-61.4668972,51,Grande-Terre,Guadalupe,"Lorvelec O., Pascal M., Pavis C., Feldmann P. 2007. Amphibians and reptiles of the French West Indies: Inventory, threats and conservation. Applied Herpetology, 4:131-163"
Gymnophthalmus underwoodi,16.3049583,-61.0733000,15,La Désirade,Guadalupe,"Lorvelec O., Pascal M., Pavis C., Feldmann P. 2007. Amphibians and reptiles of the French West Indies: Inventory, threats and conservation. Applied Herpetology, 4:131-164"
Gymnophthalmus underwoodi,14.6415278,-61.0241750,106,Saint-Joseph,Martinique,"Lorvelec O., Pascal M., Pavis C., Feldmann P. 2007. Amphibians and reptiles of the French West Indies: Inventory, threats and conservation. Applied Herpetology, 4:131-165"
Gymnophthalmus underwoodi,-1.3058333,-48.4886111,7,Pará,Brazil,"Maciel A.O., Araújo I.S., Lima-Filho G.R., Castro F.M.R., Nascimento L.R.S., Santos M.V., Prudente A.L.C., Sturaro M.J. 2021. Identity of Gymnophthalmus (Squamata: Gymnophthalmidae) from northeastern Amazonia with evidence for G. underwoodi as invasive in Belém. Acta Amazonica, 51:291-297"
Gymnophthalmus underwoodi,-1.3122222,-48.4647222,3,Pará,Brazil,"Maciel A.O., Araújo I.S., Lima-Filho G.R., Castro F.M.R., Nascimento L.R.S., Santos M.V., Prudente A.L.C., Sturaro M.J. 2021. Identity of Gymnophthalmus (Squamata: Gymnophthalmidae) from northeastern Amazonia with evidence for G. underwoodi as invasive in Belém. Acta Amazonica, 51:291-298"
Gymnophthalmus underwoodi,-1.3122222,-48.4647222,3,Pará,Brazil,"Maciel A.O., Araújo I.S., Lima-Filho G.R., Castro F.M.R., Nascimento L.R.S., Santos M.V., Prudente A.L.C., Sturaro M.J. 2021. Identity of Gymnophthalmus (Squamata: Gymnophthalmidae) from northeastern Amazonia with evidence for G. underwoodi as invasive in Belém. Acta Amazonica, 51:291-299"
Gymnophthalmus underwoodi,-1.3303333,-48.4770556,13,Pará,Brazil,"Maciel A.O., Araújo I.S., Lima-Filho G.R., Castro F.M.R., Nascimento L.R.S., Santos M.V., Prudente A.L.C., Sturaro M.J. 2021. Identity of Gymnophthalmus (Squamata: Gymnophthalmidae) from northeastern Amazonia with evidence for G. underwoodi as invasive in Belém. Acta Amazonica, 51:291-300"
Gymnophthalmus underwoodi,-1.0675278,-48.3543889,17,Pará,Brazil,"Maciel A.O., Araújo I.S., Lima-Filho G.R., Castro F.M.R., Nascimento L.R.S., Santos M.V., Prudente A.L.C., Sturaro M.J. 2021. Identity of Gymnophthalmus (Squamata: Gymnophthalmidae) from northeastern Amazonia with evidence for G. underwoodi as invasive in Belém. Acta Amazonica, 51:291-301"
Gymnophthalmus underwoodi,2.9505000,-61.4522000,109,Roraima,Brazil,"Recoder R.S., Vechio F.D., Marques-Souza S., Teixeira Jr M., Silva-da-Silva M., Santos-Jr A.P., Ribeiro S., Barrio-Amorós C., Rodrigues M.T. 2018. Geographic variation and taxonomy of red-tailed Gymnophthalmus (Squamata: Gymnophthalmidae) from Amazonian S"
Gymnophthalmus underwoodi,-3.0913500,-59.9896270,63,Manaus,Brazil,This_study
Gymnophthalmus underwoodi,-3.1011070,-59.9794100,70,Manaus,Brazil,This_study
Gymnophthalmus underwoodi,-3.1012400,-59.9745100,70,Manaus,Brazil,This_study
Gymnophthalmus underwoodi,-3.0892710,-59.9754400,50,Manaus,Brazil,This_study
Gymnophthalmus underwoodi,-3.0795720,-59.9607400,59,Manaus,Brazil,This_study
Gymnophthalmus underwoodi,-3.0761810,-59.9618190,76,Manaus,Brazil,This_study
Gymnophthalmus underwoodi,-3.0830080,-59.9620960,52,Manaus,Brazil,This_study
Gymnophthalmus underwoodi,3.3579850,-59.8359960,88,Roraima,Brazil,This_study
Gymnophthalmus underwoodi,3.3594500,-59.8321760,88,Roraima,Brazil,This_study
Gymnophthalmus underwoodi,0.9561870,-59.9566030,126,Roraima,Brazil,This_study
Gymnophthalmus underwoodi,10.4599490,-66.8225040,972,Caracas-Miranda,Venezuela,https://www.gbif.org/occurrence/4022305360
Gymnophthalmus underwoodi,6.2339310,-69.7165170,92,Arauca,Colombia,Inshttps://www.gbif.org/occurrence/1801438536
,,,,,,
