Sp,Lat,Lon,Alt,Locality,Country,Reference
Gymnophthalmus underwoodi,13.2587972,-59.6437278,0,Saint James,Barbados,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 2999"
Gymnophthalmus underwoodi,13.1132222,-59.5988083,39,Gridgetown,Barbados,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3000"
Gymnophthalmus underwoodi,13.1603333,-59.4310194,35,Marley Vale,Barbados,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3001"
Gymnophthalmus underwoodi,13.1824333,-59.5033500,248,Gall Hill,Barbados,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3002"
Gymnophthalmus underwoodi,13.1235389,-59.4345750,14,Long Bay,Barbados,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3003"
Gymnophthalmus underwoodi,15.3087833,-61.3385194,508,Wotten Wave,Dominica,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3004"
Gymnophthalmus underwoodi,4.9224194,-52.3134528,10,Cayenne,French Guiana,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3005"
Gymnophthalmus underwoodi,5.4838806,-54.0248917,23,Saint-Laurent-du-Maroni,French Guiana,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3006"
Gymnophthalmus underwoodi,12.1165000,-61.6790000,223,Morne Longue,Grenada,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3007"
Gymnophthalmus underwoodi,12.0166667,-61.7666667,94,Morne Longue,Grenada,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3008"
Gymnophthalmus underwoodi,15.9965750,-61.7317000,9,Basse Terre,Guadalupe,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3009"
Gymnophthalmus underwoodi,16.0019667,-61.5992167,15,Capesterre-Belle-Eau,Guadalupe,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3010"
Gymnophthalmus underwoodi,16.2732361,-61.4668972,51,Grande-Terre,Guadalupe,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3011"
Gymnophthalmus underwoodi,16.5045056,-61.4625167,17,Point de la grande vigie,Guadalupe,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3012"
Gymnophthalmus underwoodi,16.2666667,-61.4333333,99,Grande-Terre,Guadalupe,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3013"
Gymnophthalmus underwoodi,16.2556028,-61.5222694,15,Pointe-à-Pitre,Guadalupe,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3014"
Gymnophthalmus underwoodi,6.7566778,-57.9901361,2,Enmore,Guyana,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3015"
Gymnophthalmus underwoodi,6.8012806,-58.1551250,3,Georgetown,Guyana,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3016"
Gymnophthalmus underwoodi,6.8137750,-58.1565917,4,Georgetown,Guyana,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3017"
Gymnophthalmus underwoodi,6.8063722,-58.1451611,5,Georgetown,Guyana,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3018"
Gymnophthalmus underwoodi,5.7787861,-58.3821778,17,Demerara,Guyana,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3019"
Gymnophthalmus underwoodi,6.4334450,-58.7719517,86,Mazaruri,Guyana,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3020"
Gymnophthalmus underwoodi,6.4334450,-58.7719517,86,Mazaruri,Guyana,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3021"
Gymnophthalmus underwoodi,13.2509750,-61.1863472,869,Saint Vicent Island ,Saint Vicent Island ,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3022"
Gymnophthalmus underwoodi,13.1600250,-61.2248167,36,Saint Vicent Island ,Saint Vicent Island ,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3023"
Gymnophthalmus underwoodi,13.1411250,-61.2248056,65,Saint Vicent Island ,Saint Vicent Island ,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3024"
Gymnophthalmus underwoodi,13.1734694,-61.2444889,46,Saint Vicent Island ,Saint Vicent Island ,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3025"
Gymnophthalmus underwoodi,13.1510583,-61.2185333,81,Saint Vicent Island ,Saint Vicent Island ,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3026"
Gymnophthalmus underwoodi,13.2509750,-61.1863472,185,Saint Vicent Island ,Saint Vicent Island ,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3027"
Gymnophthalmus underwoodi,13.1317194,-61.1858972,70,Saint Vicent Island ,Saint Vicent Island ,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3028"
Gymnophthalmus underwoodi,18.3380972,-64.8940944,52,Anna's Retreat,St. Thomas,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3029"
Gymnophthalmus underwoodi,4.9962000,-54.9898000,43,Brokopondo,Suriname,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3030"
Gymnophthalmus underwoodi,5.8520361,-55.2038278,4,Paramaribo,Suriname,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3031"
Gymnophthalmus underwoodi,5.6979333,-55.2203972,13,Lelydorp,Suriname,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3032"
Gymnophthalmus underwoodi,5.5375833,-54.0510111,17,Christiaankondre,Suriname,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3033"
Gymnophthalmus underwoodi,10.6926167,-61.2896556,245,Verdant Vale,Trinidad and Tobago,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3034"
Gymnophthalmus underwoodi,10.6918028,-61.2225028,221,Verdant Vale,Trinidad and Tobago,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3035"
Gymnophthalmus underwoodi,10.8308667,-60.9496444,41,Toco ,Trinidad and Tobago,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3036"
Gymnophthalmus underwoodi,10.8292639,-61.0526861,9,Grande Riviere Bay,Trinidad and Tobago,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3037"
Gymnophthalmus underwoodi,10.2803444,-61.0296694,59,Mayaro ,Trinidad and Tobago,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3038"
Gymnophthalmus underwoodi,10.8311444,-60.9496444,36,Toco ,Trinidad and Tobago,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3039"
Gymnophthalmus underwoodi,10.6449861,-61.4627972,10,San Juan,Trinidad and Tobago,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3040"
Gymnophthalmus underwoodi,10.7712806,-61.2452167,221,Blanchisseuse,Trinidad and Tobago,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3041"
Gymnophthalmus underwoodi,10.6603194,-61.5085639,21,San Juan,Trinidad and Tobago,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3042"
Gymnophthalmus underwoodi,10.7161889,-61.4681917,76,San Juan,Trinidad and Tobago,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3043"
Gymnophthalmus underwoodi,10.6473417,-61.3997778,29,San Juan,Trinidad and Tobago,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3044"
Gymnophthalmus underwoodi,10.6415861,-61.3994722,25,San Juan,Trinidad and Tobago,"Cole C.J., Dessauer H.C., Townsend C.R., Arnold M.G. 1990. Unisexual lizard of the genus Gymnophthalmus (Reptilia: Teiidae) in the Neotropics: Genetics, Origin and Systematics. American Museum of Natural History, 3045"
Gymnophthalmus underwoodi,3.7778000,-59.3917000,115,Karanambo,Guyana,"Cole C.J., Townsend C.R., Reynolds R.P., MacCulloch R.D., Lathrop A. 2013. Amphibians and reptiles of Guyana, South America. Illustrated keys, annotated species accounts, and a biogeographic synopsis. Proceedings of the Biological Societ of Washington, 125(4): 317-578"
Gymnophthalmus underwoodi,3.7778000,-59.3917000,91,Karanambo,Guyana,"Cole C.J., Townsend C.R., Reynolds R.P., MacCulloch R.D., Lathrop A. 2013. Amphibians and reptiles of Guyana, South America. Illustrated keys, annotated species accounts, and a biogeographic synopsis. Proceedings of the Biological Societ of Washington, 125(4): 317-579"
Gymnophthalmus underwoodi,5.6819444,-57.8588889,30,Zion,Guyana,"Cole C.J., Townsend C.R., Reynolds R.P., MacCulloch R.D., Lathrop A. 2013. Amphibians and reptiles of Guyana, South America. Illustrated keys, annotated species accounts, and a biogeographic synopsis. Proceedings of the Biological Societ of Washington, 125(4): 317-580"
Gymnophthalmus underwoodi,5.0850000,-58.2372222,60,Kwakwanu,Guyana,"Cole C.J., Townsend C.R., Reynolds R.P., MacCulloch R.D., Lathrop A. 2013. Amphibians and reptiles of Guyana, South America. Illustrated keys, annotated species accounts, and a biogeographic synopsis. Proceedings of the Biological Societ of Washington, 125(4): 317-581"
Gymnophthalmus underwoodi,6.4991667,-58.2183333,22,Timehri,Guyana,"Cole C.J., Townsend C.R., Reynolds R.P., MacCulloch R.D., Lathrop A. 2013. Amphibians and reptiles of Guyana, South America. Illustrated keys, annotated species accounts, and a biogeographic synopsis. Proceedings of the Biological Societ of Washington, 125(4): 317-582"
Gymnophthalmus underwoodi,17.1666667,-61.9166667,402,Saint John,Antigua,"Daltry J.C. 2007. Na introduction to the herpetofauna of Antigua, Barbuda and Redonda, with some conservations recommendations. Applied Herpetology, 4:97-130"
Gymnophthalmus underwoodi,17.5833333,-61.8000000,39,Pink sand beach,Barbuda,"Daltry J.C. 2007. Na introduction to the herpetofauna of Antigua, Barbuda and Redonda, with some conservations recommendations. Applied Herpetology, 4:97-131"
Gymnophthalmus underwoodi,3.2775500,-59.8833806,93,Roraima,Brazil,"Faria R.E.S., Vogt R.C. 2020. Gymnophthalmus underwoodi (Smooth-scaled Worm lizard). Herpetological Review, 51(1)"
Gymnophthalmus underwoodi,6.9750000,-62.9000000,283,Bolivar,Venezuela,"Gorzula S., Señaris J.C. 1998. Contribution to the herpetofauna of the Venezuela Guyana I. A data base. Scientia Guaianae, 8. "
Gymnophthalmus underwoodi,7.2667000,-62.4500000,245,Bolivar,Venezuela,"Gorzula S., Señaris J.C. 1998. Contribution to the herpetofauna of the Venezuela Guyana I. A data base. Scientia Guaianae, 8. "
Gymnophthalmus underwoodi,7.3833000,-62.8667000,106,Bolivar,Venezuela,"Gorzula S., Señaris J.C. 1998. Contribution to the herpetofauna of the Venezuela Guyana I. A data base. Scientia Guaianae, 8. "
Gymnophthalmus underwoodi,8.3167000,-62.7000000,125,Bolivar,Venezuela,"Gorzula S., Señaris J.C. 1998. Contribution to the herpetofauna of the Venezuela Guyana I. A data base. Scientia Guaianae, 8. "
Gymnophthalmus underwoodi,8.5167000,-62.3667000,9,Delta Amacuro,Venezuela,"Gorzula S., Señaris J.C. 1998. Contribution to the herpetofauna of the Venezuela Guyana I. A data base. Scientia Guaianae, 8. "
Gymnophthalmus underwoodi,13.0800639,-59.4876444,59,Charnocks,Barbados,"Grant C. 1958. A new Gymnophthalmus (Reptilia: Teidae) from Barbados, B.W.I. Herpetologica, 14(4): 227-228"
Gymnophthalmus underwoodi,4.9166667,-55.1166667,43,Tonka Island,Suriname,"Jairam R. 2016. Attempted predation on a Smooth-scaled Worm Lizard, Gymnophthalmus underwoodi (Grant 1958) by a Rainbow Whiptail, Cnemidophorus lemniscatus (Linnaeus 1758) in Suriname. IRCF Reptiles & Amphibians, 23(2): 93-94"
Gymnophthalmus underwoodi,17.3433806,-62.7559056,443,Cayon,St. Kitts island,Orchard K. 2010. Gymnophthalmus underwoodi (Smooth-scaled Worm Lizard). Distribution. Caribbean Herpetology 12:1
Gymnophthalmus underwoodi,17.9055000,-62.7931944,23,Petit Cul-de-sac,Saint-Barthélemy,"Questel K., Boggio J. 2012. Gymnophthalmus underwoodi (Smooth-scaled Worm Lizard). Distribution. Caribbean Herpetology, 36:1"
Gymnophthalmus underwoodi,-3.0768611,-59.9613056,72,Manaus,Brazil,"Recoder R.S., Vechio F.D., Marques-Souza S., Teixeira Jr M., Silva-da-Silva M., Santos-Jr A.P., Ribeiro S., Barrio-Amorós C., Rodrigues M.T. 2018. Geographic variation and taxonomy of red-tailed Gymnophthalmus (Squamata: Gymnophthalmidae) from Amazonian Savannas. Zootaxa, 4497(1): 061-081"
Gymnophthalmus underwoodi,3.3635000,-61.4348000,183,Roraima,Brazil,"Recoder R.S., Vechio F.D., Marques-Souza S., Teixeira Jr M., Silva-da-Silva M., Santos-Jr A.P., Ribeiro S., Barrio-Amorós C., Rodrigues M.T. 2018. Geographic variation and taxonomy of red-tailed Gymnophthalmus (Squamata: Gymnophthalmidae) from Amazonian Savannas. Zootaxa, 4497(1): 061-082"
Gymnophthalmus underwoodi,5.7418278,-54.0303333,8,Galibi,Suriname,"Recoder R.S., Vechio F.D., Marques-Souza S., Teixeira Jr M., Silva-da-Silva M., Santos-Jr A.P., Ribeiro S., Barrio-Amorós C., Rodrigues M.T. 2018. Geographic variation and taxonomy of red-tailed Gymnophthalmus (Squamata: Gymnophthalmidae) from Amazonian Savannas. Zootaxa, 4497(1): 061-083"
Gymnophthalmus underwoodi,-0.2908000,-65.5268000,80,Amazonas,Brazil,"Recoder R.S., Vechio F.D., Marques-Souza S., Teixeira Jr M., Silva-da-Silva M., Santos-Jr A.P., Ribeiro S., Barrio-Amorós C., Rodrigues M.T. 2018. Geographic variation and taxonomy of red-tailed Gymnophthalmus (Squamata: Gymnophthalmidae) from Amazonian Savannas. Zootaxa, 4497(1): 061-084"
Gymnophthalmus underwoodi,3.8933700,-51.8830000,38,São Jorge do Oiapoque,Suriname,"Recoder R.S., Vechio F.D., Marques-Souza S., Teixeira Jr M., Silva-da-Silva M., Santos-Jr A.P., Ribeiro S., Barrio-Amorós C., Rodrigues M.T. 2018. Geographic variation and taxonomy of red-tailed Gymnophthalmus (Squamata: Gymnophthalmidae) from Amazonian Savannas. Zootaxa, 4497(1): 061-085"
Gymnophthalmus underwoodi,5.8369111,-56.7514333,2,Wageningen,Suriname,"Recoder R.S., Vechio F.D., Marques-Souza S., Teixeira Jr M., Silva-da-Silva M., Santos-Jr A.P., Ribeiro S., Barrio-Amorós C., Rodrigues M.T. 2018. Geographic variation and taxonomy of red-tailed Gymnophthalmus (Squamata: Gymnophthalmidae) from Amazonian Savannas. Zootaxa, 4497(1): 061-086"
Gymnophthalmus underwoodi,7.1167000,-62.6167000,314,La Calceta,Venezuela,"Recoder R.S., Vechio F.D., Marques-Souza S., Teixeira Jr M., Silva-da-Silva M., Santos-Jr A.P., Ribeiro S., Barrio-Amorós C., Rodrigues M.T. 2018. Geographic variation and taxonomy of red-tailed Gymnophthalmus (Squamata: Gymnophthalmidae) from Amazonian Savannas. Zootaxa, 4497(1): 061-087"
