Specimen,Field,FPWerneck,Sp,City,State,Lat,Lon,Maturiry,SVL,BM,BTAL,TAL,HL,HH,HW,TRL,INF,SG,PG,FL_L,FL_R,TL_L,TL_R,FTL_L,FTL_R,HUL_L,HUL_R,FAL_L,FAL_R,SFT_L,SFT_R,SFF_L,SFF_R
INPA-H044746,LRM01,NA,G_underwoodi,Manaus,Amazonas,-3.089271,-59.97544,Adult,41.90,NA,6.79,30.19,6.88,3.74,5.68,22.60,13.56,5.34,5.96,4.68,4.44,2.97,3.18,6.94,7.01,2.40,2.42,5.89,5.83,17,17,13,13
INPA-H044746,LRM01,NA,G_underwoodi,Manaus,Amazonas,-3.089271,-59.97544,Adult,43.15,NA,7.04,31.03,7.22,3.79,5.78,22.29,13.78,5.26,6.08,4.72,4.64,3.25,3.44,7.34,6.98,2.32,2.66,6.06,6.03,17,17,13,13
INPA-H044747,LRM02,NA,G_underwoodi,Manaus,Amazonas,-3.089271,-59.97544,Adult,37.79,NA,37.96,49.39,6.39,3.13,5.09,19.90,12.51,4.78,4.91,4.22,4.09,3.07,3.16,6.52,6.66,2.59,2.60,5.84,5.91,17,17,13,13
INPA-H044747,LRM02,NA,G_underwoodi,Manaus,Amazonas,-3.089271,-59.97544,Adult,37.96,NA,38.45,50.78,6.47,3.07,5.13,19.56,12.12,4.54,5.31,4.32,4.17,3.31,3.49,6.49,6.76,2.54,2.76,6.14,5.90,17,17,13,13
INPA-H044744,LRM03,NA,G_underwoodi,SJ_ Baliza,Roraima,0.956187,-59.956603,Juvenile,28.28,NA,36.98,36.98,4.98,2.70,3.79,14.21,9.64,3.61,3.82,3.54,3.24,2.54,2.18,5.29,5.19,2.06,1.92,4.57,4.69,18,16,14,14
INPA-H044744,LRM03,NA,G_underwoodi,SJ_ Baliza,Roraima,0.956187,-59.956603,Juvenile,29.29,NA,38.53,38.53,5.24,2.71,4.06,15.24,10.03,3.71,4.11,3.49,3.24,2.73,2.36,5.57,5.08,2.14,2.03,4.41,4.84,18,16,14,14
INPA-H044745,LRM04,NA,G_underwoodi,SJ_ Baliza,Roraima,0.956187,-59.956603,Juvenile,25.14,NA,19.74,19.74,5.13,2.51,3.71,12.85,9.16,3.42,3.61,3.01,3.03,1.85,1.73,4.53,4.98,2.08,2.21,4.53,4.73,17,17,13,13
INPA-H044745,LRM04,NA,G_underwoodi,SJ_ Baliza,Roraima,0.956187,-59.956603,Juvenile,25.20,NA,20.86,20.86,5.26,2.60,3.70,12.32,9.11,3.43,3.47,3.03,2.81,1.95,1.92,4.37,4.65,2.07,2.36,4.71,4.23,17,17,13,13
INPA-H044767,LRM35,NA,G_underwoodi,Manaus,Amazonas,-3.089271,-59.97544,Juvenile,31.43,0.47,NA,52.30,5.49,3.04,4.19,17.34,10.23,3.96,4.70,3.95,4.11,2.55,2.63,5.99,6.04,2.75,2.55,5.63,5.65,18,18,14,14
INPA-H044767,LRM35,NA,G_underwoodi,Manaus,Amazonas,-3.089271,-59.97544,Juvenile,33.07,0.47,NA,52.17,5.72,2.79,4.61,18.53,10.48,3.75,4.78,3.64,3.89,2.79,2.88,5.75,5.90,2.97,2.69,5.72,6.14,18,18,14,14
INPA-H044768,LRM36,NA,G_underwoodi,Manaus,Amazonas,-3.089271,-59.97544,Adult,36.05,0.68,33.15,48.68,5.90,3.66,4.96,19.33,11.86,4.47,4.78,3.71,3.70,2.75,3.07,6.25,5.84,3.15,3.01,5.93,5.98,18,18,14,14
INPA-H044768,LRM36,NA,G_underwoodi,Manaus,Amazonas,-3.089271,-59.97544,Adult,35.98,0.68,33.86,49.94,5.90,3.30,5.14,19.33,11.13,4.74,5.01,3.79,4.07,2.85,3.16,6.58,6.10,3.07,2.99,6.16,5.68,18,18,14,14
INPA-H044764,LRM37,NA,G_underwoodi,Manaus,Amazonas,-3.089271,-59.97544,Adult,43.08,1.19,NA,75.80,6.65,3.83,5.67,24.47,12.97,5.72,6.07,4.80,4.75,3.39,3.57,7.13,7.58,3.48,3.27,6.84,6.59,17,17,14,14
INPA-H044764,LRM37,NA,G_underwoodi,Manaus,Amazonas,-3.089271,-59.97544,Adult,43.57,1.19,NA,75.47,7.18,3.72,6.24,23.86,13.21,5.39,5.66,4.62,4.52,3.43,3.63,7.26,7.31,3.68,3.30,7.00,6.76,17,17,14,14
INPA-H044752,LRM38,NA,G_underwoodi,Manaus,Amazonas,-3.083008,-59.962096,Adult,45.31,1.38,42.29,63.25,7.07,4.16,6.14,25.01,13.98,4.98,6.15,4.76,4.78,3.06,3.23,7.29,7.22,3.73,3.39,6.97,6.98,18,18,14,13
INPA-H044752,LRM38,NA,G_underwoodi,Manaus,Amazonas,-3.083008,-59.962096,Adult,45.57,1.38,42.97,64.18,7.22,3.91,6.14,24.60,14.03,5.22,6.06,4.66,4.49,3.07,3.44,7.07,7.29,3.34,3.31,6.96,6.89,18,18,14,13
INPA-H044760,LRM39,NA,G_underwoodi,Manaus,Amazonas,-3.089271,-59.97544,Adult,42.29,1.13,21.78,50.25,6.62,3.82,5.22,22.44,13.58,4.87,5.55,4.78,4.48,3.10,2.98,6.86,6.80,3.27,3.04,6.82,6.55,17,17,13,13
INPA-H044760,LRM39,NA,G_underwoodi,Manaus,Amazonas,-3.089271,-59.97544,Adult,43.45,1.13,22.54,51.70,6.68,3.64,5.99,23.30,13.96,5.21,5.72,4.96,4.19,3.42,3.28,7.19,6.88,3.48,2.75,7.07,7.26,17,17,13,13
INPA-H044758,LRM40,NA,G_underwoodi,Manaus,Amazonas,-3.089271,-59.97544,Adult,42.76,0.85,5.85,27.42,NA,NA,NA,23.29,13.11,4.66,5.17,4.99,4.81,3.39,3.60,6.74,6.74,3.36,3.58,6.55,6.42,18,18,13,13
INPA-H044758,LRM40,NA,G_underwoodi,Manaus,Amazonas,-3.089271,-59.97544,Adult,44.17,0.85,6.23,28.79,NA,NA,NA,24.29,13.65,5.30,5.57,4.93,4.50,3.70,3.79,6.49,6.58,3.23,3.38,6.79,6.65,18,18,13,13
INPA-H044759,LRM41,NA,G_underwoodi,Manaus,Amazonas,-3.089271,-59.97544,Adult,40.74,0.85,37.41,48.60,6.98,3.87,5.95,21.24,12.89,5.43,5.50,4.48,4.30,2.95,2.89,6.91,6.85,3.16,3.34,6.27,6.22,17,16,14,13
INPA-H044759,LRM41,NA,G_underwoodi,Manaus,Amazonas,-3.089271,-59.97544,Adult,42.80,0.85,39.58,51.53,7.18,3.96,6.31,22.73,13.58,5.66,5.56,4.38,4.31,3.23,2.97,6.95,7.03,3.32,3.19,6.60,6.62,17,16,14,13
INPA-H044762,LRM42,NA,G_underwoodi,Manaus,Amazonas,-3.089271,-59.97544,Adult,41.88,0.89,50.19,55.50,7.70,4.05,5.80,24.31,12.27,4.95,5.41,5.02,4.62,3.02,3.17,6.97,6.95,3.30,3.18,6.37,6.41,17,17,13,13
INPA-H044762,LRM42,NA,G_underwoodi,Manaus,Amazonas,-3.089271,-59.97544,Adult,43.02,0.89,51.47,56.98,7.57,4.19,5.95,24.05,12.51,4.94,5.92,4.61,4.30,3.23,3.35,6.51,6.64,3.09,2.87,6.45,6.76,17,17,13,13
INPA-H044769,LRM43,NA,G_underwoodi,Manaus,Amazonas,-3.076181,-59.961819,Adult,36.62,0.59,4.37,27.76,6.06,3.45,4.91,19.80,11.55,4.07,4.82,4.01,4.00,2.74,2.75,NA,NA,3.06,2.89,NA,NA,NA,NA,NA,NA
INPA-H044769,LRM43,NA,G_underwoodi,Manaus,Amazonas,-3.076181,-59.961819,Adult,37.14,0.59,4.15,30.41,6.54,3.70,5.35,18.92,12.49,4.30,4.96,4.32,4.18,3.01,3.03,NA,NA,3.17,3.01,NA,NA,NA,NA,NA,NA
INPA-H044763,LRM44,NA,G_underwoodi,Manaus,Amazonas,-3.076181,-59.961819,Adult,41.23,0.93,4.54,35.17,6.71,3.78,5.73,23.13,12.68,4.99,5.47,5.02,4.50,2.75,2.92,6.72,6.83,3.29,3.36,6.41,6.54,18,18,14,14
INPA-H044763,LRM44,NA,G_underwoodi,Manaus,Amazonas,-3.076181,-59.961819,Adult,41.89,0.93,4.66,35.80,6.53,3.59,5.73,22.77,12.73,4.95,5.68,4.95,4.33,3.02,3.19,6.71,6.83,3.00,3.30,6.54,6.86,18,18,14,14
INPA-H044761,LRM45,NA,G_underwoodi,Manaus,Amazonas,-3.079572,-59.96074,Adult,45.18,1.35,20.31,33.56,7.00,4.15,6.11,25.49,13.70,5.35,5.56,4.76,5.01,3.11,3.16,7.32,6.82,3.42,3.75,6.84,6.75,18,18,15,15
INPA-H044761,LRM45,NA,G_underwoodi,Manaus,Amazonas,-3.079572,-59.96074,Adult,46.03,1.35,20.71,34.22,7.04,3.96,6.13,26.14,13.96,5.47,5.83,4.85,4.50,3.34,3.37,7.22,7.12,3.19,3.60,7.19,6.95,18,18,15,15
INPA-H044753,LRM46,NA,G_underwoodi,Manaus,Amazonas,-3.089271,-59.97544,Adult,43.85,1.17,35.66,43.68,7.39,3.88,6.12,23.89,14.20,4.96,5.78,4.66,4.88,3.10,3.49,6.96,7.04,3.54,3.63,6.81,6.99,18,18,14,13
INPA-H044753,LRM46,NA,G_underwoodi,Manaus,Amazonas,-3.089271,-59.97544,Adult,44.45,1.17,35.46,43.60,7.36,3.68,6.10,23.83,14.31,5.37,5.74,4.66,4.82,3.38,3.86,6.86,6.97,3.26,3.29,7.12,6.86,18,18,14,13
INPA-H044770,LRM47,NA,G_underwoodi,Manaus,Amazonas,-3.076181,-59.961819,Juvenile,33.70,0.50,11.37,34.23,6.06,3.34,4.78,17.62,11.30,4.45,4.73,4.16,4.20,2.58,2.72,NA,6.17,3.01,2.88,5.80,5.85,NA,18,14,13
INPA-H044770,LRM47,NA,G_underwoodi,Manaus,Amazonas,-3.076181,-59.961819,Juvenile,33.82,0.50,11.52,34.72,6.21,3.18,4.82,17.59,11.29,4.58,4.72,4.13,4.05,2.85,2.86,NA,6.21,3.24,2.75,6.11,5.77,NA,18,14,13
INPA-H044765,LRM48,NA,G_underwoodi,Manaus,Amazonas,-3.076181,-59.961819,Adult,46.67,1.20,12.50,45.02,7.62,4.06,6.26,25.00,14.56,5.49,5.62,5.23,5.07,3.03,3.52,7.54,7.45,NA,3.46,NA,6.71,18,18,NA,13
INPA-H044765,LRM48,NA,G_underwoodi,Manaus,Amazonas,-3.076181,-59.961819,Adult,46.13,1.20,11.30,45.37,7.75,3.82,6.52,24.78,14.28,5.77,5.71,5.07,4.80,3.34,3.81,7.23,7.31,NA,3.54,NA,7.08,18,18,NA,13
INPA-H044751,LRM49,NA,G_underwoodi,Manaus,Amazonas,-3.079572,-59.96074,Adult,41.78,1.33,NA,71.70,6.65,3.66,5.60,22.09,12.61,4.96,6.13,5.01,4.59,3.16,3.13,7.32,7.36,3.64,3.32,6.80,6.62,18,17,13,13
INPA-H044751,LRM49,NA,G_underwoodi,Manaus,Amazonas,-3.079572,-59.96074,Adult,43.05,1.33,NA,73.83,6.76,3.62,5.87,23.00,12.88,5.34,6.37,4.95,4.53,3.45,3.31,7.29,7.25,3.56,3.27,7.19,7.11,18,17,13,13
INPA-H044749,LRM50,NA,G_underwoodi,Manaus,Amazonas,-3.089271,-59.97544,Adult,41.29,0.94,NA,70.15,6.81,3.88,5.69,22.18,13.18,4.89,5.68,4.64,4.37,2.76,2.99,6.90,6.92,3.72,3.28,6.61,6.50,17,17,14,14
INPA-H044749,LRM50,NA,G_underwoodi,Manaus,Amazonas,-3.089271,-59.97544,Adult,43.20,0.94,NA,72.62,7.34,4.09,6.00,23.34,13.82,5.22,5.68,4.59,4.40,3.02,3.27,7.03,7.01,3.54,3.29,6.88,7.05,17,17,14,14
INPA-H044771,LRM51,NA,G_underwoodi,Manaus,Amazonas,-3.089271,-59.97544,Adult,36.65,0.49,13.85,40.28,6.53,3.32,5.17,19.51,11.64,5.12,5.35,4.31,4.25,3.01,2.81,6.51,6.73,3.06,3.01,6.40,6.32,17,17,13,14
INPA-H044771,LRM51,NA,G_underwoodi,Manaus,Amazonas,-3.089271,-59.97544,Adult,37.13,0.49,14.09,40.83,6.66,3.35,5.29,20.21,11.85,5.19,5.43,4.07,4.03,3.22,2.78,6.54,6.70,2.85,2.84,6.44,6.49,17,17,13,14
INPA-H044748,LRM52,NA,G_underwoodi,Manaus,Amazonas,-3.089271,-59.97544,Adult,41.23,1.03,14.68,39.20,7.04,3.85,5.47,22.46,12.63,5.34,5.69,4.42,4.57,3.13,3.52,6.54,6.65,3.06,3.27,6.35,6.18,17,17,14,14
INPA-H044748,LRM52,NA,G_underwoodi,Manaus,Amazonas,-3.089271,-59.97544,Adult,43.18,1.03,15.37,40.91,7.03,3.97,5.64,23.60,12.62,5.47,5.48,4.34,4.55,3.45,3.74,6.60,6.74,2.82,3.12,6.56,6.14,17,17,14,14
INPA-H044756,LRM53,NA,G_underwoodi,Manaus,Amazonas,-3.09135,-59.989627,Adult,38.49,0.80,14.60,41.48,6.12,4.13,5.23,21.99,12.27,5.20,5.49,4.45,4.27,3.61,3.41,6.85,6.85,3.22,3.07,7.09,6.78,17,17,14,13
INPA-H044756,LRM53,NA,G_underwoodi,Manaus,Amazonas,-3.09135,-59.989627,Adult,38.97,0.80,15.16,42.43,5.94,3.95,5.23,21.26,12.28,5.04,5.28,4.70,4.19,3.71,3.49,6.83,6.86,3.21,3.35,7.05,6.71,17,17,14,13
INPA-H044750,LRM54,NA,G_underwoodi,Manaus,Amazonas,-3.09135,-59.989627,Adult,41.22,1.20,NA,65.56,7.18,4.31,5.77,22.81,12.80,4.75,5.89,4.57,5.02,4.04,4.07,7.14,7.21,3.52,3.20,7.06,7.11,17,17,13,14
INPA-H044750,LRM54,NA,G_underwoodi,Manaus,Amazonas,-3.09135,-59.989627,Adult,40.76,1.20,NA,65.28,7.08,4.26,5.69,22.53,12.50,4.65,5.85,4.62,4.90,3.78,3.66,7.24,7.03,3.42,3.20,7.00,7.09,17,17,13,14
INPA-H044772,LRM55,NA,G_underwoodi,Manaus,Amazonas,-3.09135,-59.989627,Adult,37.54,0.73,NA,58.12,6.46,3.41,5.04,19.87,12.12,4.61,5.00,4.25,4.45,3.57,3.93,6.60,6.69,3.39,3.36,6.71,6.76,17,16,14,13
INPA-H044772,LRM55,NA,G_underwoodi,Manaus,Amazonas,-3.09135,-59.989627,Adult,36.13,0.73,NA,56.27,6.25,3.34,5.02,18.86,11.69,4.30,4.93,3.99,4.15,3.47,4.09,6.39,6.58,3.28,3.05,6.46,6.45,17,16,14,13
INPA-H044757,LRM56,NA,G_underwoodi,Manaus,Amazonas,-3.09135,-59.989627,Adult,35.34,0.70,NA,56.24,6.12,3.38,4.92,18.31,11.63,4.47,4.98,4.03,4.14,3.63,3.56,6.20,6.50,2.97,2.98,6.40,6.53,16,16,12,14
INPA-H044757,LRM56,NA,G_underwoodi,Manaus,Amazonas,-3.09135,-59.989627,Adult,34.94,0.70,NA,55.40,6.11,3.44,4.98,18.36,11.73,4.72,5.09,4.01,4.46,3.60,3.47,6.23,6.49,3.03,3.07,6.42,6.56,16,16,12,14
INPA-H044773,LRM57,NA,G_underwoodi,Manaus,Amazonas,-3.09135,-59.989627,Adult,36.72,0.55,13.29,38.52,6.19,3.43,5.12,19.86,11.82,3.99,5.04,3.91,3.89,3.74,3.69,6.24,6.49,2.96,3.05,6.68,6.64,15,16,14,14
INPA-H044773,LRM57,NA,G_underwoodi,Manaus,Amazonas,-3.09135,-59.989627,Adult,35.13,0.55,12.81,37.10,6.31,3.49,4.89,18.76,11.50,4.19,4.72,3.90,3.69,3.78,3.50,6.19,6.27,2.87,3.04,6.29,6.47,15,16,14,14
INPA-H044754,LRM58,NA,G_underwoodi,Manaus,Amazonas,-3.09135,-59.989627,Adult,39.87,0.70,35.94,58.41,6.24,3.51,5.55,21.61,12.51,4.07,4.79,4.80,4.61,3.25,3.93,7.07,7.14,3.50,3.40,7.11,6.85,17,16,13,13
INPA-H044754,LRM58,NA,G_underwoodi,Manaus,Amazonas,-3.09135,-59.989627,Adult,38.93,0.70,34.54,56.60,6.23,3.40,5.47,20.30,12.16,4.43,4.95,4.54,4.47,3.51,3.97,6.82,6.88,3.44,3.57,6.82,6.76,17,16,13,13
INPA-H044766,LRM59,NA,G_underwoodi,Manaus,Amazonas,-3.09135,-59.989627,Adult,36.55,0.68,NA,64.51,5.93,3.62,5.11,19.22,11.88,4.53,5.63,4.04,4.05,3.57,3.67,6.70,6.74,3.24,3.37,6.32,6.18,17,18,14,13
INPA-H044766,LRM59,NA,G_underwoodi,Manaus,Amazonas,-3.09135,-59.989627,Adult,36.22,0.68,NA,63.67,5.89,3.68,5.12,19.45,11.87,4.99,5.99,3.91,3.98,3.76,3.81,6.67,6.78,3.26,3.46,6.19,6.08,17,18,14,13
INPA-H044755,LRM60,NA,G_underwoodi,Manaus,Amazonas,-3.09135,-59.989627,Adult,35.51,0.70,NA,52.83,5.99,3.60,4.65,17.98,11.60,4.39,4.86,3.47,3.79,3.17,3.29,5.95,5.91,3.02,3.00,5.85,5.63,16,17,13,13
INPA-H044755,LRM60,NA,G_underwoodi,Manaus,Amazonas,-3.09135,-59.989627,Adult,36.63,0.70,NA,58.15,6.08,3.64,5.08,19.79,11.84,4.26,4.87,3.85,4.04,3.25,3.13,6.55,6.53,3.28,3.20,6.44,6.22,16,17,13,13
