Specimen,State,SVL,Side,FL,TL,FTL,HUL,FAL,LFT,LFF
FPWerneck03738,Roraima,47.36,Right,4.88,3.39,6.56,3.25,6.54,17,13
FPWerneck03738,Roraima,47.15,Right,5.21,3.38,6.91,3.39,6.43,17,13
FPWerneck03739,Roraima,36.11,Left,3.96,2.57,5.98,3.19,6.08,17,13
FPWerneck03739,Roraima,36.19,Left,3.86,2.8,5.8,2.86,6.14,17,13
FPWerneck03739,Roraima,36.11,Right,3.81,2.68,6.02,3.11,5.56,17,13
FPWerneck03739,Roraima,36.19,Right,4.12,2.86,5.92,3.05,5.54,17,13
FPWerneck03740,Roraima,38.47,Left,4.66,3.2,6.44,3.29,6.39,17,13
FPWerneck03740,Roraima,40.44,Left,4.19,3.52,6.58,3.47,6.5,17,13
FPWerneck03740,Roraima,38.47,Right,4.4,3.22,6.72,3.31,6.39,17,14
FPWerneck03740,Roraima,40.44,Right,4.3,3.55,6.32,3.47,6.12,17,14
FPWerneck03742,Roraima,45.9,Left,4.66,3.06,6.54,3.52,6.27,16,13
FPWerneck03742,Roraima,45.66,Left,5.1,3.07,6.39,3.44,6.47,16,13
FPWerneck03742,Roraima,45.9,Right,4.68,3.05,6.66,3.45,6.42,17,13
FPWerneck03742,Roraima,45.66,Right,4.99,3.26,6.65,3.32,6.6,17,13
INPA-H018978,Roraima,39.33,Left,4.87,3.07,6.1,3.36,6.01,17,14
INPA-H018978,Roraima,40,Left,4.91,3.28,6.11,3.57,6.52,17,14
INPA-H018978,Roraima,39.33,Right,4.96,3.43,7.1,3.13,6.16,19,14
INPA-H018978,Roraima,40,Right,4.74,3.68,7.26,3.11,6.41,19,14
INPA-H018979,Roraima,43.01,Left,4.43,3.21,6.75,3.11,6.69,17,14
INPA-H018979,Roraima,42.63,Left,4.58,3.31,6.71,3.4,6.05,17,14
INPA-H018979,Roraima,43.01,Right,4.51,3.02,6,3.16,6.72,17,14
INPA-H018979,Roraima,42.63,Right,4.15,3.12,6.65,3.27,6.25,17,14
INPA-H031306,Amazonas,40.51,Left,4.87,3.71,6.95,3.55,6.41,NA,14
INPA-H031306,Amazonas,42.49,Left,4.97,3.63,7.69,3.37,7.05,NA,14
INPA-H031306,Amazonas,40.51,Right,4.43,3.53,7.02,3.23,6.3,NA,14
INPA-H031306,Amazonas,42.49,Right,4.52,3.67,7.11,3.16,6.19,NA,14
INPA-H031307,Amazonas,36.21,Left,4.62,2.89,5.77,2.7,6.14,17,13
INPA-H031307,Amazonas,35.55,Left,4.71,2.77,5.58,2.95,5.83,17,13
INPA-H031307,Amazonas,36.21,Right,3.98,2.97,NA,2.68,6.07,17,13
INPA-H031307,Amazonas,35.55,Right,4.16,2.79,NA,2.43,5.78,17,13
INPA-H031308,Amazonas,43.82,Left,4.75,3.24,6.65,3.91,6.55,NA,13
INPA-H031308,Amazonas,45.23,Left,4.97,3.48,7.22,4.26,7.35,NA,13
INPA-H031308,Amazonas,43.82,Right,4.7,3.23,7.09,3.8,6.73,NA,13
INPA-H031308,Amazonas,45.23,Right,4.77,3.46,7.87,4.14,7.11,NA,13
INPA-H031309,Amazonas,42.46,Left,4.83,3.45,7.04,3.4,6.95,16,13
INPA-H031309,Amazonas,41.92,Left,4.38,3.19,7.19,3.74,6.82,16,13
INPA-H031309,Amazonas,42.46,Right,4.42,3.53,7.11,3.62,6.57,17,14
INPA-H031309,Amazonas,41.92,Right,4.63,3.45,6.85,3.23,6.94,17,14
INPA-H031310,Amazonas,41.45,Left,4.51,3.63,7.16,3.39,6.46,NA,13
INPA-H031310,Amazonas,42.4,Left,4.86,3.92,7.1,3.36,6.48,NA,13
INPA-H031310,Amazonas,41.45,Right,4.41,3.6,7.19,3.34,6.65,NA,13
INPA-H031310,Amazonas,42.4,Right,4.24,3.71,6.63,3.58,6.33,NA,13
INPA-H031311,Amazonas,42.51,Left,4.99,3.21,6.4,3.44,6.96,17,13
INPA-H031311,Amazonas,44.23,Left,4.56,3.54,6.98,3.63,7.13,17,13
INPA-H031311,Amazonas,42.51,Right,4.09,3.27,7.01,3.42,6.51,17,14
INPA-H031311,Amazonas,44.23,Right,4.11,3.51,7.19,3.4,6.33,17,14
INPA-H031312,Amazonas,36.55,Left,3.8,2.75,6.03,3.15,5.89,17,13
INPA-H031312,Amazonas,34.84,Left,3.94,3.02,6.04,3.12,6.07,17,13
INPA-H031312,Amazonas,36.55,Right,3.91,2.75,6.08,3.05,5.45,17,13
INPA-H031312,Amazonas,34.84,Right,3.79,3.03,6.71,3.34,4.87,17,13
INPA-H040754,Amazonas,38.04,Left,4.05,2.97,6.58,2.91,6.09,17,13
INPA-H040754,Amazonas,38.77,Left,4.15,2.91,6.66,3.17,6.24,17,13
INPA-H040754,Amazonas,38.04,Right,3.99,3.3,6.86,2.99,5.85,17,14
INPA-H040754,Amazonas,38.77,Right,4.17,3.52,6.73,2.91,6.02,17,14
INPA-H040772,Amazonas,42.15,Left,4.93,3.1,7.34,3.4,6.85,17,12
INPA-H040772,Amazonas,41.92,Left,4.93,3.41,7.53,3.61,6.87,17,12
INPA-H040772,Amazonas,42.15,Right,4.6,3.16,7.12,3.46,6.67,17,12
INPA-H040772,Amazonas,41.92,Right,4.25,3.42,6.6,3.46,6.31,17,12
INPA-H041179,Amazonas,41.24,Left,4.35,3.03,7.26,3.15,6.51,17,14
INPA-H041179,Amazonas,41.58,Left,4.63,3.32,6.63,3.41,6.34,17,14
INPA-H041179,Amazonas,41.24,Right,4.46,2.96,6.95,3.31,6.79,17,14
INPA-H041179,Amazonas,41.58,Right,4.11,2.64,6.52,3.23,6.63,17,14
LRM01,Amazonas,41.9,Left,4.68,2.97,6.94,2.4,5.89,17,13
LRM01,Amazonas,43.15,Left,4.72,3.25,7.34,2.32,6.06,17,13
LRM01,Amazonas,41.9,Right,4.44,3.18,7.01,2.42,5.83,17,13
LRM01,Amazonas,43.15,Right,4.64,3.44,6.98,2.66,6.03,17,13
LRM02,Amazonas,37.79,Left,4.22,3.07,6.52,2.59,5.84,17,13
LRM02,Amazonas,37.96,Left,4.32,3.31,6.49,2.54,6.14,17,13
LRM02,Amazonas,37.79,Right,4.09,3.16,6.66,2.6,5.91,17,13
LRM02,Amazonas,37.96,Right,4.17,3.49,6.76,2.76,5.9,17,13
LRM36,Amazonas,36.05,Left,3.71,2.75,6.25,3.15,5.93,18,14
LRM36,Amazonas,35.98,Left,3.79,2.85,6.58,3.07,6.16,18,14
LRM36,Amazonas,36.05,Right,3.7,3.07,5.84,3.01,5.98,18,14
LRM36,Amazonas,35.98,Right,4.07,3.16,6.1,2.99,5.68,18,14
LRM37,Amazonas,43.08,Left,4.8,3.39,7.13,3.48,6.84,17,14
LRM37,Amazonas,43.57,Left,4.62,3.43,7.26,3.68,7,17,14
LRM37,Amazonas,43.08,Right,4.75,3.57,7.58,3.27,6.59,17,14
LRM37,Amazonas,43.57,Right,4.52,3.63,7.31,3.3,6.76,17,14
LRM38,Amazonas,45.31,Left,4.76,3.06,7.29,3.73,6.97,18,14
LRM38,Amazonas,45.57,Left,4.66,3.07,7.07,3.34,6.96,18,14
LRM38,Amazonas,45.31,Right,4.78,3.23,7.22,3.39,6.98,18,13
LRM38,Amazonas,45.57,Right,4.49,3.44,7.29,3.31,6.89,18,13
LRM39,Amazonas,42.29,Left,4.78,3.1,6.86,3.27,6.82,17,13
LRM39,Amazonas,43.45,Left,4.96,3.42,7.19,3.48,7.07,17,13
LRM39,Amazonas,42.29,Right,4.48,2.98,6.8,3.04,6.55,17,13
LRM39,Amazonas,43.45,Right,4.19,3.28,6.88,2.75,7.26,17,13
LRM40,Amazonas,42.76,Left,4.99,3.39,6.74,3.36,6.55,18,13
LRM40,Amazonas,44.17,Left,4.93,3.7,6.49,3.23,6.79,18,13
LRM40,Amazonas,42.76,Right,4.81,3.6,6.74,3.58,6.42,18,13
LRM40,Amazonas,44.17,Right,4.5,3.79,6.58,3.38,6.65,18,13
LRM41,Amazonas,40.74,Left,4.48,2.95,6.91,3.16,6.27,17,14
LRM41,Amazonas,42.8,Left,4.38,3.23,6.95,3.32,6.6,17,14
LRM41,Amazonas,40.74,Right,4.3,2.89,6.85,3.34,6.22,16,13
LRM41,Amazonas,42.8,Right,4.31,2.97,7.03,3.19,6.62,16,13
LRM42,Amazonas,41.88,Left,5.02,3.02,6.97,3.3,6.37,17,13
LRM42,Amazonas,43.02,Left,4.61,3.23,6.51,3.09,6.45,17,13
LRM42,Amazonas,41.88,Right,4.62,3.17,6.95,3.18,6.41,17,13
LRM42,Amazonas,43.02,Right,4.3,3.35,6.64,2.87,6.76,17,13
LRM43,Amazonas,36.62,Left,4.01,2.74,NA,3.06,NA,NA,NA
LRM43,Amazonas,37.14,Left,4.32,3.01,NA,3.17,NA,NA,NA
LRM43,Amazonas,36.62,Right,4,2.75,NA,2.89,NA,NA,NA
LRM43,Amazonas,37.14,Right,4.18,3.03,NA,3.01,NA,NA,NA
LRM44,Amazonas,41.23,Left,5.02,2.75,6.72,3.29,6.41,18,14
LRM44,Amazonas,41.89,Left,4.95,3.02,6.71,3,6.54,18,14
LRM44,Amazonas,41.23,Right,4.5,2.92,6.83,3.36,6.54,18,14
LRM44,Amazonas,41.89,Right,4.33,3.19,6.83,3.3,6.86,18,14
LRM45,Amazonas,45.18,Left,4.76,3.11,7.32,3.42,6.84,18,15
LRM45,Amazonas,46.03,Left,4.85,3.34,7.22,3.19,7.19,18,15
LRM45,Amazonas,45.18,Right,5.01,3.16,6.82,3.75,6.75,18,15
LRM45,Amazonas,46.03,Right,4.5,3.37,7.12,3.6,6.95,18,15
LRM46,Amazonas,43.85,Left,4.66,3.1,6.96,3.54,6.81,18,14
