"","(Intercept)","distribution","FAL_L","FL_L","FTL_L","HH","INF","s(temp, by = distribution)","SFT_L","substrate","SVL","TAL","TL_L","TRL","df","logLik","AICc","delta","weight"
"6088",-2.17162561771412,"+",0.633581038160166,-0.440042979097775,NA,NA,NA,"+",0.0947277265664162,"+",0.069893148658729,-0.00743831201523913,NA,0.00614760126698368,15,-233.918875962252,500.954635041387,8.26774714153805,0.000427567935458018
"5744",-0.249199820048109,"+",0.768325724541107,-0.15519413360185,-0.484586148806261,NA,0.10995795343704,"+",NA,NA,0.0602096112215037,-0.00448772118782099,NA,0.0701217330904372,15,-233.919130674089,500.955144465061,8.26825656521214,0.000427459042712441
"2024",-2.17242573434833,"+",0.632779777630925,-0.442015220712849,NA,NA,0.0049720085120461,"+",0.0940499303828947,"+",0.0700695765246382,-0.00747772432624817,NA,NA,15,-233.919397868029,500.95567885294,8.2687909530913,0.000427344843504158
"6746",0.307021370403875,"+",NA,NA,-0.0991342975265384,-0.862989520599898,NA,"+",NA,NA,0.0431922011443367,NA,0.112446853578744,0.175940170719868,13,-236.316722765993,500.966778865319,8.2798909654698,0.000424979646478007
"5860",-1.65621244055014,"+",0.450317352042629,NA,NA,NA,0.10704237220052,"+",0.08248869082878,NA,0.0625354406675773,-0.00756840319117859,NA,0.123509650649316,14,-235.132639587357,500.974956594069,8.28806869421987,0.000423245510081732
"4702",0.291159929520301,"+",NA,-0.152110392017863,0.026227694515043,-0.796782955690583,NA,"+",NA,NA,0.0441573217550498,NA,NA,0.178118155082083,13,-236.326320140225,500.985973613784,8.29908571393457,0.00042092046765612
"4950",0.301953259322435,"+",NA,-0.138165078644925,NA,-0.786044110846972,NA,"+",NA,"+",0.0436765769566671,NA,NA,0.172867082382405,13,-236.329157381355,500.991648096044,8.30476019619505,0.000419727907383258
"8020",-0.335517169730012,"+",0.586577057163968,NA,NA,-0.532752069193727,NA,"+",NA,"+",0.0632118885547686,-0.00673666658071745,-0.126174490316966,0.132795226851128,15,-233.94063909402,500.998161304924,8.31127340507476,0.000418363242908812
"7012",-0.425243975361286,"+",0.645258620124954,NA,NA,NA,0.206417530202661,"+",NA,"+",0.0645079648397167,NA,-0.347657564172386,0.209730729558977,14,-235.149728203872,501.009133827099,8.32224592725038,0.000416074277600628
"6774",0.221348450840348,"+",NA,-0.159727837252036,NA,-0.997713267681861,0.410793934622632,"+",NA,NA,0.0431619410985334,NA,0.147936064683111,0.430254393326711,14,-235.153412403831,501.016502227016,8.32961432716718,0.000414544197056429
"5108",-0.409741643757891,"+",0.418169877893701,NA,NA,-0.866283687545226,0.344038943664206,"+",0.0192060174796138,"+",0.0545247789646327,NA,NA,0.41983390327465,15,-233.960806451272,501.038496019428,8.35160811957883,0.000410010471691482
"6872",-0.545854618146763,"+",0.599055222685088,-0.348954174133617,NA,-0.661206327105297,NA,"+",0.0229399779960219,NA,0.0598549034238887,NA,-0.080003917072957,0.187784745682653,15,-233.962081722239,501.041046561361,8.3541586615122,0.000409487930502518
"6994",0.294651593524958,"+",NA,NA,NA,-0.90389633283139,NA,"+",NA,"+",0.0444971826600262,NA,0.0932232474039141,0.204371551068287,13,-236.356786915192,501.046907163717,8.36001926386757,0.000408289763889392
"4842",-2.53349934888165,"+",NA,NA,-0.242665927579564,NA,0.290252953541949,"+",0.171662268664138,NA,0.040698881939607,NA,NA,0.208515382679965,13,-236.361098715107,501.055530763547,8.36864286369814,0.000406533090054704
"2792",-1.50517509108031,"+",0.620090845262545,-0.406218467017448,NA,NA,-0.000420720148670698,"+",0.0685532195958039,NA,0.0650605330636797,NA,-0.176883678473969,NA,14,-235.18273096603,501.075139351414,8.38825145156522,0.000402566795277361
"1630",0.0865453615337361,"+",NA,-0.130575954362455,0.0265536371387941,-0.51941764466766,NA,"+",NA,NA,0.0489003740521038,-0.00654528767642337,NA,NA,13,-236.372599417602,501.078532168537,8.39164426868763,0.000401884456445751
"1654",0.0966860054394427,"+",NA,-0.118086628419645,NA,-0.511850787603236,0.0115297545791259,"+",NA,NA,0.0483593033872266,-0.00633696365117335,NA,NA,13,-236.373852870307,501.081039073947,8.39415117409817,0.000401381028863858
"3786",-3.07198138180192,"+",NA,NA,-0.271711708650791,NA,NA,"+",0.199700210232402,NA,0.0447315532048155,-0.00523712041541186,0.198318915180952,NA,13,-236.376472795434,501.086278924201,8.3993910243521,0.000400330816959851
"4854",-0.88911131394678,"+",NA,-0.128005242735874,NA,-0.765346592614406,0.377874521189587,"+",0.0711482804286062,NA,0.0413861955142055,NA,NA,0.391231717422239,14,-235.196878073593,501.103433566541,8.41654566669206,0.000396911735211596
"1882",0.0598584221645701,"+",NA,NA,-0.0275854469414569,-0.510243289777922,NA,"+",NA,"+",0.0487589360739022,-0.00679458492227714,NA,NA,13,-236.39063454449,501.114602422313,8.42771452246393,0.000394701387756499
"1906",0.0246845731231952,"+",NA,NA,NA,-0.507601462642976,0.0117052078681434,"+",NA,"+",0.0496897813181962,-0.00704583741631255,NA,NA,13,-236.393218524794,501.119770382921,8.43288248307169,0.000393682803711929
"3704",-0.366303306758107,"+",0.615314499098535,-0.322668212959217,NA,-0.43369410358686,-0.0564187840162983,"+",NA,NA,0.0651639470011959,-0.0072119745327411,-0.0620672857712564,NA,15,-234.002283467479,501.12145005184,8.43456215199126,0.000393352314124845
"7026",0.306267338121028,"+",NA,NA,NA,-1.04861142307775,0.437558736767302,"+",NA,"+",0.0417090336617634,NA,0.133687375170225,0.48063728641825,14,-235.206745913599,501.123169246553,8.43628134670371,0.000393014334799437
"4962",0.0301038006225271,"+",NA,NA,NA,NA,0.320674784299507,"+",NA,"+",0.0497474886515409,NA,NA,0.240592982209709,12,-237.569142759424,501.125546665345,8.43865876549569,0.00039254743252744
"1784",-0.767283080701781,"+",0.575791850081286,-0.335358647284299,NA,-0.447116090373812,-0.0542737029091493,"+",0.025016910765544,NA,0.0646337368727456,-0.00725185855894064,NA,NA,15,-234.012449038572,501.141781194028,8.45489329417865,0.00038937391880116
"4954",0.344019368180242,"+",NA,NA,-0.0534748281750742,-0.792393937250536,NA,"+",NA,"+",0.042502595007826,NA,NA,0.178930069193292,13,-236.414291239777,501.161915812888,8.47502791303918,0.000385473636691256
"2932",-0.483429480292395,"+",0.592969393716008,NA,NA,-0.389818327323799,-0.0310655947398696,"+",NA,"+",0.0657591721347413,NA,-0.240522633711194,NA,14,-235.229949711076,501.169576841507,8.4826889416579,0.000383999898799066
"7794",0.20051671881901,"+",NA,NA,NA,-0.951470017312777,0.368554234252418,"+",NA,NA,0.0440908366991834,-0.00243231818036684,0.132815861892882,0.397844162901346,14,-235.234957466715,501.179592352785,8.4927044529361,0.000382081728014317
"3028",-0.803615642043425,"+",0.569284442783047,NA,NA,-0.365327860054276,NA,"+",0.0187848944845606,"+",0.0655314903538049,NA,-0.22260429945438,NA,14,-235.234994987092,501.179667393538,8.49277949368889,0.000382067392433009
"982",-1.98836773873341,"+",NA,-0.247153613045921,NA,-0.41276700024276,NA,"+",0.123571965096232,"+",0.0482456582751179,NA,NA,NA,13,-236.42874424364,501.190821820613,8.50393392076376,0.000379942452130703
"3800",-0.648671167189817,"+",0.588503434015656,-0.33146088157151,NA,-0.402904022208762,NA,"+",0.0156708098746272,NA,0.065020776865762,-0.00696863583763776,-0.046264646701667,NA,15,-234.041655201304,501.20019351949,8.51330561964153,0.000378166263730294
"6100",-0.571829254554602,"+",0.511071370612642,NA,NA,-0.61524360866303,NA,"+",0.016737239902651,"+",0.0620957806209376,-0.00711567351989253,NA,0.140231728947189,15,-234.041932613919,501.200748344721,8.51386044487219,0.000378061370188111
"1658",0.112484615379457,"+",NA,NA,-0.0450214861006658,-0.508277544389055,0.0120716111893065,"+",NA,NA,0.0477103611289104,-0.00650722393896838,NA,NA,13,-236.438595951593,501.21052523652,8.52363733667096,0.000376217747529517
"4864",-0.953244185490675,"+",0.670021142939548,-0.167214166781896,-0.401872151420403,-0.584734928391211,0.25728377908138,"+",0.0542694230423131,NA,0.0532203619641741,NA,NA,0.27842311929357,16,-232.829074519034,501.213704593624,8.52681669377506,0.000375620157359353
"1990",-2.41478768405243,"+",NA,-0.196051979177148,NA,NA,NA,"+",0.14815469994024,"+",0.0498101404580746,-0.00585361672016818,NA,NA,13,-236.449704597019,501.232742527371,8.54585462752163,0.000372061605264474
"3782",-2.79507543504388,"+",NA,-0.226090798114127,NA,NA,NA,"+",0.172513586880237,NA,0.0508351012114711,-0.00670408538903227,0.159427019438968,NA,13,-236.450938978035,501.235211289404,8.54832338955487,0.000371602622819812
